Year,Country code,Country,Population,Total Water Consumption(Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level,Number of dams,Reservoir_Capacity_TMC,Number_of_Industries,ISO_Code,Water_Use_Intensity,Sector_Balance,Infrastructure_per_Capita,Water_Consumption_lag1,Per_Capita_lag1,Water_Consumption_MA3,Population_Rainfall_Interaction,Agri_GW_Interaction
1997,484,Mexico,90560000,77.7,340,80.6,6.4,9.4,730,1.7,Moderate,4300,7700,320000,MEX,8.58E-07,0.078431373,8.50E-05,77.6,342.9,77.6,66108800000,137.02
1997,36,Australia,222000,16,203.9,1.6,51,56,933.9,3.4,Low,4640,1574,320000,AUS,7.21E-05,19.61538462,0.007090058,16.07,205.4,16.07,207325800,5.44
1997,826,England,49820000,16.03,895.2,1.8,21.4,56,933.9,0.44,Low,4600,1810,222000,GBR,3.22E-07,7.642857143,3.63E-05,16.1,901.3,16.1,46526898000,0.792
1997,250,France,59640000,38,168,14,19.2,16.7,786,23,Low,572,7900,214000,FRA,6.37E-07,1.28,0.000132461,38.3,169,38.3,46877040000,322
1997,124,Canada,29800000,42.9,610.1,11.3,77.7,9.7,544,0,Low,11000,62000,62000,CAN,1.44E-06,6.317073171,0.002080537,43.2,615.8,43.2,16211200000,0
1997,392,Japan,123400000,86,340,65,29.5,17.6,1709,0,Low,2840,17300,424000,JPN,6.97E-07,0.446969697,0.000140194,86.4,342.9,86.43333333,2.11E+11,0
1997,32,Argentina,35400000,33.4,530,74,8.7,10.7,577,1.2,Low,107,2200,66000,ARG,9.44E-07,0.116,6.21E-05,33.2,532.9,33.2,20425800000,88.8
1997,704,Vietnam,73000000,67,87,90,8.7,9.4,1786,0.8,Low,640,24200,93500,VNM,9.18E-07,0.095604396,0.000331507,66,86,66,1.30E+11,72
1997,608,Philippines,74200000,57,153,82.6,6,11,2386,1.2,Low,1060,950,50000,PHL,7.68E-07,0.071770335,1.28E-05,56,154,56,1.77E+11,99.12
1997,364,Iran,62600000,78,408,91.6,5.7,6.7,236,10,Moderate,82,35,76000,IRN,1.25E-06,0.061555076,5.59E-07,77,414,77,14773600000,916
1997,764,Thailand,58940000,40,471,86,6.4,6,1550,10,Low,14000,73000,98000,THA,6.79E-07,0.073563218,0.001238548,39,475,39,91357000000,860
1997,860,Uzbekistan,23600000,60.5,1840,95.6,7,6,240,3,High,1200,28100,4000,UZB,2.56E-06,0.072463768,0.001190678,61,1862.9,61,5664000000,286.8
1997,792,Turkey,62400000,37.6,174,73,13.4,16.7,650,2.4,Low,760,2280,120000,TUR,6.03E-07,0.181081081,3.65E-05,36.8,174.9,36.8,40560000000,175.2
1997,604,Peru,24660000,21.4,270,84.9,4.7,8.41,1670,0.6,Moderate,5200,546,80000,PER,8.68E-07,0.054714785,2.21E-05,21.2,274.3,21.2,41182200000,50.94
1997,368,Iraq,22800000,75,560,90.6,4.4,5.4,200,2.2,High,183,3860,22000,IRQ,3.29E-06,0.048034934,0.000169298,75.7,572.9,75.7,4560000000,199.32
1998,356,India,499712000,481,2197.78,43,37,20,1601.4,2.22,Low,3120,1555,10080,IND,9.63E-07,0.840909091,3.11E-06,463.75,2213.88,463.8333333,8.00E+11,95.46
1998,156,China,1210000000,632,1420.58,77.6,37,7.942,634.286,3.832,Moderate,20200,610,198000,CHN,5.22E-07,0.470737913,5.04E-07,614,1392.89,614,7.67E+11,297.3632
1998,840,USA,273000000,532,1900,58.6,35.4,12.688,775,26.56,High,78656,472,437143,USA,1.95E-06,0.593959732,1.73E-06,536,1935,536,2.12E+11,1556.416
1998,76,Brazil,161800000,52.2,880.3,61.6,17.6,11.6,2145,6.8,Low,2071,361.4,203143,BRA,3.23E-07,0.28115016,2.23E-06,51.3,873.7,51.3,3.47E+11,418.88
1998,643,Russia,147085714,104.4,2048.3,31.4,38.2,12,469,5.8,High,3346,886,80656,RUS,7.10E-07,1.179012346,6.02E-06,106,2060.8,106,68983199866,182.12
1998,484,Mexico,91897143,77.8,337.1,80.4,6.6,9.6,727.1,1.8,Moderate,4343,7800,330000,MEX,8.47E-07,0.081081081,8.49E-05,77.7,340,77.7,66818412675,144.72
1998,36,Australia,223714,15.93,202.4,1.69,50.4,56.1,938,3.6,Low,4660,1576,330000,AUS,7.12E-05,18.73605948,0.007044677,16,203.9,16,209843732,6.084
1998,826,England,50080000,15.97,889.2,1.91,20.9,56.1,938,0.46,Low,4614,1811,223714,GBR,3.19E-07,7.182130584,3.62E-05,16.03,895.2,16.03333333,46975040000,0.8786
1998,250,France,59845714,37.7,167,13.9,18.8,16.8,788.3,23.4,Low,576,7914,214571,FRA,6.30E-07,1.261744966,0.00013224,38,168,38,47176376346,325.26
1998,124,Canada,30100000,42.6,604.4,11.2,77.3,9.8,545,0,Low,11143,62286,60857,CAN,1.42E-06,6.336065574,0.002069302,42.9,610.1,42.9,16404500000,0
1998,392,Japan,123385714,85.6,337.1,64.9,29,17.6,1711,0,Low,2846,17343,417429,JPN,6.94E-07,0.440060698,0.000140559,86,340,86,2.11E+11,0
1998,32,Argentina,35800000,33.6,527.1,73.9,8.8,10.8,575,1.3,Low,108,2214,66857,ARG,9.39E-07,0.117489987,6.18E-05,33.4,530,33.4,20585000000,96.07
1998,704,Vietnam,74000000,68,88,89.7,8.8,9.6,1784,0.9,Low,660,25229,104714,VNM,9.19E-07,0.097023153,0.000340932,67,87,67,1.32E+11,80.73
1998,608,Philippines,75957143,58,152,82.1,6.1,11.1,2384,1.3,Low,1111,964,52857,PHL,7.64E-07,0.073405535,1.27E-05,57,153,57,1.81E+11,106.73
1998,364,Iran,63542857,79,402,91.6,5.8,6.8,234,10.7,Moderate,88,37,77571,IRN,1.24E-06,0.062634989,5.82E-07,78,408,78,14869028538,980.12
1998,764,Thailand,59345714,40,467,85.4,6.6,6.1,1543,10.7,Low,14571,73429,103429,THA,6.74E-07,0.076388889,0.001237309,40,471,39.66666667,91570436702,913.78
1998,860,Uzbekistan,24042857,60,1817.1,95.3,6.9,6.1,238.6,3.1,High,1229,28114,4286,UZB,2.50E-06,0.07165109,0.001169329,60.5,1840,60.5,5736625680,295.43
1998,792,Turkey,63242857,38.4,173.1,72.7,13.6,16.8,647.1,2.6,Low,797,2363,124286,TUR,6.07E-07,0.184531886,3.74E-05,37.6,174,37.6,40924452765,189.02
1998,604,Peru,25025714,21.6,265.7,84.8,4.8,8.47,1665.7,0.69,Moderate,5729,549,84286,PER,8.63E-07,0.055944056,2.19E-05,21.4,270,21.4,41685331810,58.512
1998,368,Iraq,23614286,74.3,547.1,90.4,4.31,5.46,197.1,2.37,High,190,3811,21571,IRQ,3.15E-06,0.047155361,0.000161385,75,560,75,4654375771,214.248
1999,356,India,513650000,498.5,2182.74,42.8,37.2,20,1595.85,2.28,Low,3230,1596.5,10240,IND,9.71E-07,0.849315068,3.11E-06,481,2197.78,481.0833333,8.20E+11,97.584
1999,156,China,1220000000,651,1448.79,76.8,37.2,8.387,633.571,4.061,Moderate,20350,630,207000,CHN,5.34E-07,0.4781491,5.16E-07,632,1420.58,632.3333333,7.73E+11,311.8848
1999,840,USA,276000000,528,1865,57.8,34.2,12.774,782.5,26.13,High,79113,473.5,444286,USA,1.91E-06,0.581632653,1.72E-06,532,1900,532,2.16E+11,1510.314
1999,76,Brazil,163400000,53.1,887,61.8,17.3,11.8,2138.1,7.4,Low,2143,362.9,212286,BRA,3.25E-07,0.275477707,2.22E-06,52.2,880.3,52.2,3.49E+11,457.32
1999,643,Russia,146971429,102.9,2036.4,31,37.3,12.2,470.1,5.7,High,3351,890,85113,RUS,7.00E-07,1.165625,6.06E-06,104.4,2048.3,104.4333333,69091268773,176.7
1999,484,Mexico,93234286,77.9,334.3,80.2,6.8,9.8,724.3,1.9,Moderate,4386,7900,340000,MEX,8.36E-07,0.083743842,8.47E-05,77.8,337.1,77.8,67529593350,152.38
1999,36,Australia,225429,15.86,200.9,1.77,49.9,56.3,942.1,3.8,Low,4680,1578,340000,AUS,7.04E-05,18.01444043,0.006999956,15.93,202.4,15.93,212376660.9,6.726
1999,826,England,50340000,15.9,883.3,2.03,20.4,56.3,942.1,0.48,Low,4629,1813,225429,GBR,3.16E-07,6.732673267,3.60E-05,15.97,889.2,15.96666667,47425314000,0.9744
1999,250,France,60051429,37.4,166,13.7,18.4,16.9,790.6,23.9,Low,579,7929,215143,FRA,6.23E-07,1.25170068,0.000132037,37.7,167,37.7,47476659767,327.43
1999,124,Canada,30400000,42.3,598.7,11.1,77,9.9,546,0,Low,11286,62571,59714,CAN,1.39E-06,6.363636364,0.002058257,42.6,604.4,42.6,16598400000,0
1999,392,Japan,123371429,85.1,334.3,64.7,28.5,17.5,1713,0,Low,2851,17386,410857,JPN,6.90E-07,0.433789954,0.000140924,85.6,337.1,85.56666667,2.11E+11,0
1999,32,Argentina,36200000,33.8,524.3,73.7,8.9,10.9,573,1.4,Low,109,2229,67714,ARG,9.34E-07,0.11914324,6.16E-05,33.6,527.1,33.6,20742600000,103.18
1999,704,Vietnam,75000000,69,89,89.4,8.9,9.8,1782,1,Low,680,26257,115929,VNM,9.20E-07,0.098451327,0.000350093,68,88,68,1.34E+11,89.4
1999,608,Philippines,77714286,59,151,81.6,6.3,11.3,2382,1.4,Low,1163,979,55714,PHL,7.59E-07,0.076271186,1.26E-05,58,152,58,1.85E+11,114.24
1999,364,Iran,64485714,80,396,91.5,5.9,6.9,232,11.4,Moderate,94,38,79143,IRN,1.24E-06,0.063783784,5.89E-07,79,402,79,14960685648,1043.1
1999,764,Thailand,59751429,41,463,84.9,6.8,6.3,1536,11.4,Low,15143,73857,108857,THA,6.86E-07,0.079161816,0.001236071,40,467,40.33333333,91778194944,967.86
1999,860,Uzbekistan,24485714,59.5,1794.3,94.9,6.7,6.3,237.1,3.3,High,1257,28129,4571,UZB,2.43E-06,0.069864442,0.001148792,60,1817.1,60,5805562789,313.17
1999,792,Turkey,64085714,39.2,172.3,72.4,13.8,16.9,644.3,2.8,Low,834,2446,128571,TUR,6.12E-07,0.188010899,3.82E-05,38.4,173.1,38.4,41290425530,202.72
1999,604,Peru,25391429,21.8,261.4,84.6,4.9,8.53,1661.4,0.77,Moderate,6257,552,88571,PER,8.59E-07,0.057242991,2.17E-05,21.6,265.7,21.6,42185320141,65.142
1999,368,Iraq,24428571,73.6,534.3,90.2,4.23,5.51,194.3,2.54,High,198,3763,21143,IRQ,3.01E-06,0.046381579,0.000154041,74.3,547.1,74.3,4746471345,229.108
2000,356,India,465795000,516.25,2386.57,37.49,39.08,23.74,1568.96,2.27,Low,3340,1638.75,10400,IND,1.11E-06,1.015328657,3.52E-06,498.5,2182.74,498.5833333,7.31E+11,85.1023
2000,156,China,1230000000,670,1477.53,76,39.08,8.851,632.857,4.29,Moderate,20500,650,216000,CHN,5.45E-07,0.507532468,5.28E-07,651,1448.79,651,7.78E+11,326.04
2000,840,USA,279000000,524,1830,57,33,12.86,790,25.7,High,79570,475,451429,USA,1.88E-06,0.568965517,1.70E-06,528,1865,528,2.20E+11,1464.9
2000,76,Brazil,165000000,54,893.9,62,17,12,2131.3,8,Low,2214,364.3,221429,BRA,3.27E-07,0.26984127,2.21E-06,53.1,887,53.1,3.52E+11,496
2000,643,Russia,146857143,101.3,2025,30.5,36.5,12.5,471.3,5.5,High,3357,895,89570,RUS,6.90E-07,1.158730159,6.09E-06,102.9,2036.4,102.8666667,69213771496,167.75
2000,484,Mexico,94571429,78,331.4,80,7,10,721.4,2,Moderate,4429,8000,350000,MEX,8.25E-07,0.086419753,8.46E-05,77.9,334.3,77.9,68223828881,160
2000,36,Australia,227143,15.79,199.4,1.86,49.3,56.4,946.3,4,Low,4700,1580,350000,AUS,6.95E-05,17.23776224,0.00695594,15.86,200.9,15.86,214945420.9,7.44
2000,826,England,50600000,15.83,877.5,2.14,19.9,56.4,946.3,0.5,Low,4643,1814,227143,GBR,3.13E-07,6.337579618,3.58E-05,15.9,883.3,15.9,47882780000,1.07
2000,250,France,60257143,37.1,165,13.6,18,17,792.9,24.3,Low,582,7943,215714,FRA,6.16E-07,1.232876712,0.000131818,37.4,166,37.4,47777888685,330.48
2000,124,Canada,30700000,42,593,11,76.7,10,547,0,Low,11429,62857,58571,CAN,1.37E-06,6.391666667,0.002047459,42.3,598.7,42.3,16792900000,0
2000,392,Japan,123357143,84.7,331.4,64.6,28,17.5,1715,0,Low,2857,17429,404286,JPN,6.87E-07,0.426829268,0.000141289,85.1,334.3,85.13333333,2.12E+11,0
2000,32,Argentina,36600000,34,521.4,73.6,9,11,571,1.5,Low,110,2243,68571,ARG,9.29E-07,0.120643432,6.13E-05,33.8,524.3,33.8,20898600000,110.4
2000,704,Vietnam,76000000,70,90,89.1,9,10,1780,1.1,Low,700,27286,127143,VNM,9.21E-07,0.099889012,0.000359026,69,89,69,1.35E+11,98.01
2000,608,Philippines,79471429,60,150,81.1,6.4,11.4,2380,1.5,Low,1214,993,58571,PHL,7.55E-07,0.077953715,1.25E-05,59,151,59,1.89E+11,121.65
2000,364,Iran,65428571,81,390,91.5,6,7,230,12.1,Moderate,100,40,80714,IRN,1.24E-06,0.064864865,6.11E-07,80,396,80,15048571330,1107.15
2000,764,Thailand,60157143,42,459,84.3,7,6.4,1529,12.1,Low,15714,74286,114286,THA,6.98E-07,0.082063306,0.001234866,41,463,41,91980271647,1020.03
2000,860,Uzbekistan,24928571,59,1771.4,94.6,6.6,6.4,235.7,3.4,High,1286,28143,4857,UZB,2.37E-06,0.069037657,0.001128946,59.5,1794.3,59.5,5875664185,321.64
2000,792,Turkey,64928571,40,171.4,72.1,14,17,641.4,3,Low,871,2529,132857,TUR,6.16E-07,0.191518468,3.90E-05,39.2,172.3,39.2,41645185439,216.3
2000,604,Peru,25757143,22,257.1,84.5,5,8.59,1657.1,0.86,Moderate,6786,555,92857,PER,8.54E-07,0.058479532,2.15E-05,21.8,261.4,21.8,42682161665,72.67
2000,368,Iraq,25242857,72.9,521.4,90,4.14,5.57,191.4,2.71,High,205,3714,20714,IRQ,2.89E-06,0.045494505,0.000147131,73.6,534.3,73.6,4831482830,243.9
2001,356,India,485342000,534.25,2639.7,59.99,20.73,25.14,1766.2,3.04,Moderate,3450,1681.75,10560,IND,1.10E-06,0.339891786,3.47E-06,516.25,2386.57,516.3333333,8.57E+11,182.3696
2001,156,China,1240000000,690,1506.81,75.2,20.73,9.335,632.143,4.519,Moderate,20650,670,225000,CHN,5.56E-07,0.272047244,5.40E-07,670,1477.53,670.3333333,7.84E+11,339.8288
2001,840,USA,282000000,520,1795,56.2,31.8,12.946,785,25.27,High,80027,476.5,458571,USA,1.84E-06,0.555944056,1.69E-06,524,1830,524,2.21E+11,1420.174
2001,76,Brazil,166600000,54.9,900.9,62.2,16.7,12.2,2124.4,8.6,Low,2286,365.7,230571,BRA,3.30E-07,0.264240506,2.20E-06,54,893.9,54,3.54E+11,534.92
2001,643,Russia,146742857,99.7,2014.2,30.1,35.6,12.7,472.4,5.4,High,3363,899,94027,RUS,6.79E-07,1.144694534,6.13E-06,101.3,2025,101.3,69321325647,162.54
2001,484,Mexico,95908571,78.1,328.6,79.8,7.2,10.2,718.6,2.1,Moderate,4471,8100,360000,MEX,8.14E-07,0.089108911,8.45E-05,78,331.4,78,68919899121,167.58
2001,36,Australia,228857,15.71,197.9,1.94,48.7,56.6,950.4,4.2,Low,4720,1582,360000,AUS,6.86E-05,16.56462585,0.006912583,15.79,199.4,15.78666667,217505692.8,8.148
2001,826,England,50860000,15.77,871.8,2.26,19.4,56.6,950.4,0.52,Low,4657,1816,228857,GBR,3.10E-07,5.950920245,3.57E-05,15.83,877.5,15.83333333,48337344000,1.1752
2001,250,France,60462857,36.9,164,13.4,17.6,17.1,795.1,24.7,Low,585,7957,216286,FRA,6.10E-07,1.222222222,0.000131601,37.1,165,37.13333333,48074017601,330.98
2001,124,Canada,31000000,41.7,587.3,10.9,76.3,10.1,548,0,Low,11571,63143,57429,CAN,1.35E-06,6.411764706,0.002036871,42,593,42,16988000000,0
2001,392,Japan,123342857,84.3,328.6,64.4,27.5,17.4,1717,0,Low,2863,17471,397714,JPN,6.83E-07,0.420489297,0.000141646,84.7,331.4,84.7,2.12E+11,0
2001,32,Argentina,37000000,34.2,518.6,73.4,9.1,11.1,569,1.6,Low,111,2257,69429,ARG,9.24E-07,0.122311828,6.10E-05,34,521.4,34,21053000000,117.44
2001,704,Vietnam,77000000,71,91,88.9,9.1,10.2,1778,1.2,Low,720,28314,138357,VNM,9.22E-07,0.101223582,0.000367714,70,90,70,1.37E+11,106.68
2001,608,Philippines,81228571,61,149,80.6,6.6,11.6,2378,1.6,Moderate,1266,1007,61429,PHL,7.51E-07,0.080882353,1.24E-05,60,150,60,1.93E+11,128.96
2001,364,Iran,66371429,82,384,91.4,6.1,7.1,228,12.9,Moderate,106,41,82286,IRN,1.24E-06,0.066017316,6.18E-07,81,390,81,15132685812,1179.06
2001,764,Thailand,60562857,42,455,83.7,7.2,6.6,1521,12.9,Low,16286,74714,119714,THA,6.93E-07,0.085005903,0.00123366,42,459,41.66666667,92116105497,1079.73
2001,860,Uzbekistan,25371429,58.5,1748.6,94.3,6.4,6.6,234.3,3.6,High,1314,28157,5143,UZB,2.31E-06,0.067156348,0.001109792,59,1771.4,59,5944525815,339.48
2001,792,Turkey,65771429,40.8,170.6,71.9,14.2,17.1,638.6,3.2,Low,909,2611,137143,TUR,6.20E-07,0.19478738,3.97E-05,40,171.4,40,42001634559,230.08
2001,604,Peru,26122857,22.2,252.9,84.3,5.1,8.65,1652.9,0.94,Moderate,7314,558,97143,PER,8.50E-07,0.05978898,2.14E-05,22,257.1,22,43178470335,79.242
2001,368,Iraq,26057143,72.1,508.6,89.8,4.06,5.63,188.6,2.89,High,213,3666,20286,IRQ,2.77E-06,0.044713656,0.000140691,72.9,521.4,72.86666667,4914377170,259.522
2002,356,India,595785000,552.5,1557.73,44.51,26.87,25.99,1603.48,1.89,Low,3560,1725.5,10720,IND,9.27E-07,0.590419688,2.90E-06,534.25,2639.7,534.3333333,9.55E+11,84.1239
2002,156,China,1250000000,711,1536.65,74.4,26.87,9.839,631.429,4.748,Moderate,20800,690,234000,CHN,5.69E-07,0.356366048,5.52E-07,690,1506.81,690.3333333,7.89E+11,353.2512
2002,840,USA,285000000,516,1760,55.4,30.6,13.032,780,24.84,Moderate,80484,478,465714,USA,1.81E-06,0.542553191,1.68E-06,520,1795,520,2.22E+11,1376.136
2002,76,Brazil,168200000,55.8,908,62.4,16.4,12.4,2117.5,9.2,Low,2357,367.1,239714,BRA,3.32E-07,0.258675079,2.18E-06,54.9,900.9,54.9,3.56E+11,574.08
2002,643,Russia,146628571,98.1,2003.9,29.6,34.8,13,473.5,5.2,High,3369,904,98484,RUS,6.69E-07,1.137254902,6.17E-06,99.7,2014.2,99.7,69428628369,153.92
2002,484,Mexico,97245714,78.2,325.7,79.6,7.4,10.4,715.7,2.2,Moderate,4514,8200,370000,MEX,8.04E-07,0.091811414,8.43E-05,78.1,328.6,78.1,69598757510,175.12
2002,36,Australia,230571,15.64,196.4,2.03,48.1,56.7,954.5,4.4,Low,4740,1584,370000,AUS,6.78E-05,15.87458746,0.006869871,15.71,197.9,15.71333333,220080019.5,8.932
2002,826,England,51120000,15.7,866.2,2.37,18.9,56.7,954.5,0.54,Low,4671,1817,230571,GBR,3.07E-07,5.608308605,3.55E-05,15.77,871.8,15.76666667,48794040000,1.2798
2002,250,France,60668571,36.6,163,13.3,17.2,17.2,797.4,25.1,Low,589,7971,216857,FRA,6.03E-07,1.202797203,0.000131386,36.9,164,36.86666667,48377118515,333.83
2002,124,Canada,31300000,41.4,581.6,10.8,76,10.2,549,0,Low,11714,63429,56286,CAN,1.32E-06,6.440677966,0.002026486,41.7,587.3,41.7,17183700000,0
2002,392,Japan,123328571,83.9,325.7,64.3,27,17.4,1719,0,Low,2869,17514,391143,JPN,6.80E-07,0.413476263,0.000142011,84.3,328.6,84.3,2.12E+11,0
2002,32,Argentina,37400000,34.4,515.7,73.3,9.2,11.2,567,1.7,Low,112,2271,70286,ARG,9.20E-07,0.123822342,6.07E-05,34.2,518.6,34.2,21205800000,124.61
2002,704,Vietnam,78000000,72,92,88.6,9.2,10.4,1776,1.3,Low,740,29343,149571,VNM,9.23E-07,0.102678571,0.000376192,71,91,71,1.39E+11,115.18
2002,608,Philippines,82985714,62,148,80.1,6.7,11.7,2376,1.7,Moderate,1317,1021,64286,PHL,7.47E-07,0.082614057,1.23E-05,61,149,61,1.97E+11,136.17
2002,364,Iran,67314286,83,378,91.4,6.2,7.2,226,13.6,High,112,43,83857,IRN,1.23E-06,0.067099567,6.39E-07,82,384,82,15213028636,1243.04
2002,764,Thailand,60968571,43,451,83.1,7.4,6.7,1514,13.6,Low,16857,75143,125143,THA,7.05E-07,0.087990488,0.001232487,42,455,42.33333333,92306416494,1130.16
2002,860,Uzbekistan,25814286,58,1725.7,93.9,6.3,6.7,232.9,3.7,High,1343,28171,5429,UZB,2.25E-06,0.066385669,0.001091295,58.5,1748.6,58.5,6012147209,347.43
2002,792,Turkey,66614286,41.6,169.7,71.6,14.4,17.2,635.7,3.4,Moderate,946,2694,141429,TUR,6.24E-07,0.198347107,4.04E-05,40.8,170.6,40.8,42346701610,243.44
2002,604,Peru,26488571,22.4,248.6,84.2,5.2,8.71,1648.6,1.03,Moderate,7843,561,101429,PER,8.46E-07,0.061032864,2.12E-05,22.2,252.9,22.2,43669058151,86.726
2002,368,Iraq,26871429,71.4,495.7,89.6,3.97,5.69,185.7,3.06,High,220,3617,19857,IRQ,2.66E-06,0.043818985,0.000134604,72.1,508.6,72.13333333,4990024365,274.176
2003,356,India,608334000,571,2008.25,46.63,25.02,23.38,2220.13,2.24,Moderate,3670,1770,10880,IND,9.39E-07,0.525299181,2.91E-06,552.5,1557.73,552.5833333,1.35E+12,104.4512
2003,156,China,1260000000,732,1567.06,73.6,25.02,10.365,630.714,4.977,Moderate,20950,710,243000,CHN,5.81E-07,0.33538874,5.63E-07,711,1536.65,711,7.95E+11,366.3072
2003,840,USA,288000000,512,1725,54.6,29.4,13.118,775,24.41,Moderate,80941,479.5,472857,USA,1.78E-06,0.528776978,1.66E-06,516,1760,516,2.23E+11,1332.786
2003,76,Brazil,169800000,56.7,915.3,62.6,16.1,12.6,2110.6,9.8,Low,2429,368.6,248857,BRA,3.34E-07,0.253144654,2.17E-06,55.8,908,55.8,3.58E+11,613.48
2003,643,Russia,146514286,96.6,1994.1,29.2,33.9,13.2,474.6,5.1,High,3374,908,102941,RUS,6.59E-07,1.122516556,6.20E-06,98.1,2003.9,98.13333333,69535680136,148.92
2003,484,Mexico,98582857,78.3,322.9,79.4,7.6,10.6,712.9,2.3,Moderate,4557,8300,380000,MEX,7.94E-07,0.094527363,8.42E-05,78.2,325.7,78.2,70279718755,182.62
2003,36,Australia,232286,15.57,195,2.11,47.6,56.9,958.6,4.6,Low,4760,1586,380000,AUS,6.70E-05,15.30546624,0.00682776,15.64,196.4,15.64,222669359.6,9.706
2003,826,England,51380000,15.63,860.7,2.49,18.4,56.9,958.6,0.56,Low,4686,1819,232286,GBR,3.04E-07,5.272206304,3.54E-05,15.7,866.2,15.7,49252868000,1.3944
2003,250,France,60874286,36.3,162,13.1,16.8,17.3,799.7,25.6,Low,592,7986,217429,FRA,5.96E-07,1.191489362,0.000131188,36.6,163,36.6,48681166514,335.36
2003,124,Canada,31600000,41.1,575.9,10.7,75.7,10.3,550,0,Low,11857,63714,55143,CAN,1.30E-06,6.47008547,0.002016266,41.4,581.6,41.4,17380000000,0
2003,392,Japan,123314286,83.4,322.9,64.1,26.5,17.3,1721,0,Low,2874,17557,384571,JPN,6.76E-07,0.407066052,0.000142376,83.9,325.7,83.86666667,2.12E+11,0
2003,32,Argentina,37800000,34.6,512.9,73.1,9.3,11.3,565,1.8,Low,113,2286,71143,ARG,9.15E-07,0.125506073,6.05E-05,34.4,515.7,34.4,21357000000,131.58
2003,704,Vietnam,79000000,73,93,88.3,9.3,10.6,1774,1.4,Low,760,30371,160786,VNM,9.24E-07,0.104143337,0.000384443,72,92,72,1.40E+11,123.62
2003,608,Philippines,84742857,63,147,79.6,6.9,11.9,2374,1.8,Moderate,1369,1036,67143,PHL,7.43E-07,0.08560794,1.22E-05,62,148,62,2.01E+11,143.28
2003,364,Iran,68257143,84,372,91.3,6.3,7.3,224,14.3,High,118,44,85429,IRN,1.23E-06,0.068255688,6.45E-07,83,378,83,15289600032,1305.59
2003,764,Thailand,61374286,44,447,82.6,7.6,6.9,1507,14.3,Low,17429,75571,130571,THA,7.17E-07,0.090909091,0.001231314,43,451,43,92491049002,1181.18
2003,860,Uzbekistan,26257143,57.5,1702.9,93.6,6.1,6.9,231.4,3.9,High,1371,28186,5714,UZB,2.19E-06,0.06448203,0.00107346,58,1725.7,58,6075902890,365.04
2003,792,Turkey,67457143,42.4,168.9,71.3,14.6,17.3,632.9,3.6,Moderate,983,2777,145714,TUR,6.29E-07,0.201936376,4.12E-05,41.6,169.7,41.6,42693625805,256.68
2003,604,Peru,26854286,22.6,244.3,84,5.3,8.77,1644.3,1.11,Moderate,8371,564,105714,PER,8.42E-07,0.062352941,2.10E-05,22.4,248.6,22.4,44156502470,93.24
2003,368,Iraq,27685714,70.7,482.9,89.4,3.89,5.74,182.9,3.23,High,228,3569,19429,IRQ,2.55E-06,0.043030973,0.000128911,71.4,495.7,71.4,5063717091,288.762
2004,356,India,594196000,589.75,2063.68,52.24,21.04,26.45,1353.03,2.36,Moderate,3780,1815.25,11040,IND,9.93E-07,0.395191585,3.05E-06,571,2008.25,571.0833333,8.04E+11,123.2864
2004,156,China,1270000000,754,1598.06,72.8,21.04,10.913,630,5.206,Moderate,21100,730,252000,CHN,5.94E-07,0.285094851,5.75E-07,732,1567.06,732.3333333,8.00E+11,378.9968
2004,840,USA,291000000,508,1690,53.8,28.2,13.204,770,23.98,Moderate,81398,481,480000,USA,1.75E-06,0.51459854,1.65E-06,512,1725,512,2.24E+11,1290.124
2004,76,Brazil,171400000,57.6,922.7,62.8,15.8,12.8,2103.8,10.4,Low,2500,370,258000,BRA,3.36E-07,0.247648903,2.16E-06,56.7,915.3,56.7,3.61E+11,653.12
2004,643,Russia,146400000,95,1984.8,28.7,33.1,13.5,475.8,4.9,High,3380,913,107398,RUS,6.49E-07,1.114478114,6.24E-06,96.6,1994.1,96.56666667,69657120000,140.63
2004,484,Mexico,99920000,78.4,320,79.2,7.8,10.8,710,2.4,Moderate,4600,8400,390000,MEX,7.85E-07,0.097256858,8.41E-05,78.3,322.9,78.3,70943200000,190.08
2004,36,Australia,234000,15.5,193.5,2.2,47,57,962.8,4.8,Low,4780,1588,390000,AUS,6.62E-05,14.6875,0.006786296,15.57,195,15.57,225295200,10.56
2004,826,England,51640000,15.57,855.3,2.6,17.9,57,962.8,0.58,Low,4700,1820,234000,GBR,3.02E-07,4.972222222,3.52E-05,15.63,860.7,15.63333333,49718992000,1.508
2004,250,France,61080000,36,161,13,16.4,17.4,802,26,Low,595,8000,218000,FRA,5.89E-07,1.171428571,0.000130976,36.3,162,36.3,48986160000,338
2004,124,Canada,31900000,40.8,570.2,10.6,75.3,10.4,551,0,Low,12000,64000,54000,CAN,1.28E-06,6.49137931,0.00200627,41.1,575.9,41.1,17576900000,0
2004,392,Japan,123300000,83,320,64,26,17.3,1723,0,Low,2880,17600,378000,JPN,6.73E-07,0.4,0.000142741,83.4,322.9,83.43333333,2.12E+11,0
2004,32,Argentina,38200000,34.8,510,73,9.4,11.4,563,1.9,Low,114,2300,72000,ARG,9.11E-07,0.127027027,6.02E-05,34.6,512.9,34.6,21506600000,138.7
